交易日,合约,时间,毫秒,现价,持仓,成交量,买一,买一量,卖一,卖一量,涨停价,跌停价
20170120,zn1705,01:09:35,500,22225,44342,16238,22230,9,22225,4,23930,20795
20170120,zn1705,01:09:36,0,22225,44342,16238,22230,11,22215,12,23930,20795
20170120,zn1705,01:09:36,500,22225,44342,16238,22230,21,22220,10,23930,20795
20170120,zn1705,01:09:37,0,22225,44342,16238,22235,50,22220,12,23930,20795
20170120,zn1705,01:09:37,500,22225,44342,16238,22230,1,22225,5,23930,20795
20170120,zn1705,01:09:38,0,22230,44340,16240,22230,2,22220,7,23930,20795
20170120,zn1705,01:09:38,500,22230,44340,16240,22230,1,22225,5,23930,20795
20170120,zn1705,01:09:39,0,22225,44340,16244,22225,1,22220,7,23930,20795
20170120,zn1705,01:09:39,500,22225,44338,16246,22230,51,22215,2,23930,20795
20170120,zn1705,01:09:40,0,22225,44338,16246,22225,29,22215,8,23930,20795
20170120,zn1705,01:09:40,500,22225,44338,16246,22225,32,22215,8,23930,20795
20170120,zn1705,01:09:41,0,22225,44338,16246,22225,56,22215,8,23930,20795
20170120,zn1705,01:09:41,500,22225,44338,16246,22225,51,22215,8,23930,20795
20170120,zn1705,01:09:42,0,22225,44338,16246,22225,52,22215,8,23930,20795
20170120,zn1705,01:09:42,500,22225,44338,16246,22225,47,22215,8,23930,20795
20170120,zn1705,01:09:43,0,22225,44354,16262,22230,1,22215,8,23930,20795
20170120,zn1705,01:09:43,500,22225,44354,16262,22225,8,22220,8,23930,20795
20170120,zn1705,01:09:44,0,22225,44354,16264,22230,6,22225,8,23930,20795
20170120,zn1705,01:09:44,500,22225,44354,16264,22230,68,22225,8,23930,20795
20170120,zn1705,01:09:45,0,22230,44366,16284,22225,1,22215,8,23930,20795
20170120,zn1705,01:09:45,500,22230,44366,16284,22225,3,22215,2,23930,20795
